Headline,Body ID,Stance,prob_0,prob_1,prob_2,prob_3
This Is What The Sun Baby From ‘Teletubbies’ Looks Like Now,504,unrelated,1.4953865e-05,2.0682661e-08,5.876883e-07,0.9999844
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",1634,unrelated,2.3861784e-08,3.3930863e-08,4.4088284e-07,0.9999995
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1776,unrelated,5.815402e-08,1.0571324e-07,1.1531534e-06,0.9999987
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,1670,unrelated,1.17949654e-07,2.818258e-08,6.970348e-08,0.99999976
"Lady on FB: I'm 41, Intersex, and Fucked Michael Phelps on First Date",1839,unrelated,1.8100748e-08,4.972337e-10,1.3493535e-07,0.9999999
"Op-Ed: Hoax – Priest who never existed claims he died, saw female God",169,unrelated,8.897915e-08,1.0161854e-07,3.1584833e-07,0.9999995
Iraqi Official Dismisses ‘Unfounded’ Reports That ISIS Fighters Have Ebola,737,unrelated,1.6946525e-07,2.5573974e-09,5.698633e-07,0.9999993
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,298,discuss,0.053300306,0.0005104751,0.896628,0.049561195
ISIS Blasts 'Scorpion Bombs' At Civilian Areas In Iraq; Mosul Residents Living In Fear,776,agree,0.9607565,0.00033237686,0.038906828,4.266053e-06
Seth Rogen to Play Apple’s Steve Wozniak,646,unrelated,8.0000063e-07,6.485103e-08,1.8454343e-06,0.99999726
CBS News Names Canadian Parliament Shooting Suspect,2134,unrelated,3.6646796e-08,3.554057e-08,1.1492353e-06,0.9999988
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,2261,unrelated,2.9818874e-09,1.1889515e-08,4.6460525e-05,0.9999535
Married TV actor wakes up to find his testicles have been STOLEN after he is drugged in Russian bar by attractive blonde working for organ traffickers,1519,unrelated,4.778381e-06,3.8586967e-07,0.0002820431,0.99971277
Apple may launch 12-inch MacBook Air with Retina Display,345,unrelated,9.748041e-09,5.150916e-09,7.278924e-08,0.9999999
'The youngest martyr - the cub of al-Baghdadi': ISIS boasts a 10-year-old fighter has been killed as he went into battle with his father in Syria,1829,unrelated,1.7125907e-07,6.497422e-08,5.166888e-07,0.9999993
'The Force Awakens' Release Date: JJ Abrams Plan for an Early Release of 'Star Wars' Movie?,1897,unrelated,3.819624e-09,4.180138e-10,1.2263358e-08,1.0
CNN Posts Alleged Audio of Michael Brown Shooting,844,unrelated,1.4365313e-08,1.1239503e-07,2.3360362e-06,0.9999975
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,781,unrelated,7.7064556e-08,1.5114329e-09,2.7001389e-07,0.99999964
Media Fooled Again? Story Claims 7 of 28 Girls On School Trip Came Home Pregnant,313,unrelated,1.0221454e-07,1.9823254e-07,2.1980755e-07,0.9999995
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,1034,unrelated,4.1982108e-07,1.234014e-07,0.00028156053,0.9997179
"Why the most expensive Apple Watch will probably cost around $10,000",81,unrelated,4.756235e-07,1.4039874e-08,1.7356196e-07,0.9999993
REVEALED: Woman Behind $5 Million Per Year Youtube Channel Is a Former Porn Star  Read more at: http://nextshark.com/revealed-woman-behind-5-million-per-year-youtube-channel-is-a-former-porn-star/#rmns,1315,agree,0.96253633,0.0027325046,0.034658212,7.294716e-05
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,137,unrelated,1.9881485e-08,1.8668336e-09,2.1480116e-07,0.99999976
Big Bank Hank of The Sugarhill Gang is dead at 57,2118,unrelated,1.0290593e-07,6.8894166e-09,1.5369927e-06,0.99999833
Are Rumors of the Apple Watch in Feb True?,1293,unrelated,1.7195587e-08,8.69942e-09,4.178014e-07,0.9999995
US confirms death of Somalia terror group leader,1637,unrelated,6.829078e-07,1.3618563e-07,2.2626242e-08,0.99999917
British aid worker David Haines beheaded by ISIL,1178,unrelated,1.401579e-07,1.6320505e-09,3.2807072e-06,0.99999654
