,id,Stance,uclmr,athene,solat,solat_tree,solat_deep,mix_solat_uclmr,mv_solat,mv_athene,mv_uclmr
0,0,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated,unrelated,unrelated,unrelated
1,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
2,2,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
3,3,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated,unrelated,unrelated,unrelated
4,4,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
5,5,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6,6,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
7,7,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
8,8,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated,unrelated,unrelated,unrelated
9,9,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
10,10,agree,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
11,11,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
12,12,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
13,13,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14,14,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15,15,agree,unrelated,agree,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
16,16,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
17,17,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
18,18,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
19,19,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
20,20,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
21,21,agree,discuss,disagree,agree,agree,unrelated,agree,agree,disagree,discuss
22,22,agree,agree,agree,agree,agree,unrelated,agree,agree,agree,agree
23,23,disagree,agree,agree,agree,discuss,agree,discuss,agree,agree,agree
24,24,discuss,disagree,discuss,agree,agree,agree,agree,agree,discuss,disagree
25,25,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
26,26,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
27,27,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
28,28,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
29,29,agree,agree,agree,discuss,discuss,disagree,agree,agree,agree,agree
30,30,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
31,31,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
32,32,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
33,33,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
34,34,discuss,discuss,discuss,discuss,discuss,agree,discuss,discuss,discuss,discuss
35,35,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
36,36,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
37,37,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
38,38,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
39,39,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated,unrelated,unrelated,unrelated
40,40,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
41,41,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
42,42,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
43,43,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
44,44,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
45,45,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
46,46,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
47,47,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
48,48,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
49,49,unrelated,discuss,unrelated,agree,unrelated,agree,discuss,agree,unrelated,discuss
50,50,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
51,51,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
52,52,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
53,53,unrelated,discuss,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
54,54,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
55,55,discuss,discuss,discuss,discuss,discuss,agree,discuss,discuss,discuss,discuss
56,56,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
57,57,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
58,58,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
59,59,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
60,60,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
61,61,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated,unrelated,unrelated,unrelated
62,62,discuss,discuss,discuss,agree,agree,discuss,agree,discuss,discuss,discuss
63,63,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
64,64,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
65,65,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
66,66,agree,discuss,discuss,discuss,discuss,agree,discuss,discuss,discuss,discuss
67,67,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
68,68,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
69,69,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
70,70,agree,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
71,71,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
72,72,agree,agree,agree,discuss,discuss,agree,discuss,agree,agree,agree
73,73,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
74,74,agree,agree,agree,agree,discuss,agree,agree,agree,agree,agree
75,75,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
76,76,discuss,agree,agree,discuss,agree,discuss,agree,agree,agree,agree
77,77,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
78,78,discuss,agree,discuss,discuss,discuss,disagree,discuss,discuss,discuss,discuss
79,79,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
80,80,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
81,81,discuss,discuss,discuss,discuss,discuss,unrelated,discuss,discuss,discuss,discuss
82,82,discuss,agree,agree,discuss,discuss,agree,agree,agree,agree,agree
83,83,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
84,84,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
85,85,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
86,86,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
87,87,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
88,88,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
89,89,disagree,agree,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
90,90,disagree,discuss,unrelated,agree,agree,agree,agree,agree,unrelated,discuss
91,91,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
92,92,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
93,93,agree,discuss,unrelated,discuss,discuss,agree,discuss,discuss,discuss,discuss
94,94,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
95,95,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
96,96,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
97,97,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
98,98,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
99,99,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
100,100,agree,discuss,discuss,agree,agree,agree,agree,discuss,discuss,discuss
101,101,discuss,discuss,unrelated,discuss,discuss,discuss,discuss,discuss,discuss,discuss
102,102,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
103,103,disagree,discuss,agree,discuss,discuss,unrelated,discuss,discuss,discuss,discuss
104,104,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
105,105,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
106,106,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
107,107,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
108,108,unrelated,discuss,unrelated,discuss,discuss,discuss,discuss,discuss,discuss,discuss
109,109,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated,unrelated,unrelated,unrelated
110,110,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
111,111,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
112,112,unrelated,unrelated,unrelated,discuss,unrelated,discuss,unrelated,unrelated,unrelated,unrelated
