,Unnamed: 0,id,Stance,uclmr,athene,solat,solat_tree,solat_deep,mix_solat_uclmr
0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
5,5,5,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
10,10,10,agree,discuss,discuss,discuss,discuss,discuss,discuss
15,15,15,agree,unrelated,agree,unrelated,unrelated,agree,unrelated
20,20,20,discuss,discuss,discuss,discuss,discuss,discuss,discuss
25,25,25,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
30,30,30,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
35,35,35,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
40,40,40,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
45,45,45,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
50,50,50,discuss,discuss,discuss,discuss,discuss,discuss,discuss
55,55,55,discuss,discuss,discuss,discuss,discuss,agree,discuss
60,60,60,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
65,65,65,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
70,70,70,agree,discuss,discuss,discuss,discuss,discuss,discuss
75,75,75,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
80,80,80,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
85,85,85,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
90,90,90,disagree,discuss,unrelated,agree,agree,agree,agree
95,95,95,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
100,100,100,agree,discuss,discuss,agree,agree,agree,agree
105,105,105,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
110,110,110,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
115,115,115,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
120,120,120,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
125,125,125,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
130,130,130,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
135,135,135,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
140,140,140,agree,discuss,discuss,discuss,discuss,discuss,discuss
145,145,145,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
150,150,150,discuss,discuss,discuss,discuss,discuss,discuss,discuss
155,155,155,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
160,160,160,unrelated,discuss,unrelated,unrelated,unrelated,unrelated,unrelated
165,165,165,agree,agree,agree,agree,agree,agree,agree
170,170,170,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
175,175,175,discuss,discuss,discuss,discuss,discuss,discuss,discuss
180,180,180,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
185,185,185,agree,agree,agree,agree,agree,agree,agree
190,190,190,discuss,discuss,discuss,discuss,discuss,agree,discuss
195,195,195,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
200,200,200,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
205,205,205,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
210,210,210,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
215,215,215,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
220,220,220,discuss,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
225,225,225,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
230,230,230,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
235,235,235,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
240,240,240,discuss,discuss,agree,agree,agree,agree,agree
245,245,245,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
250,250,250,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
255,255,255,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
260,260,260,discuss,discuss,agree,agree,agree,agree,discuss
265,265,265,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
270,270,270,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
275,275,275,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
280,280,280,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
285,285,285,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
290,290,290,disagree,discuss,discuss,unrelated,agree,unrelated,discuss
295,295,295,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
300,300,300,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
305,305,305,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
310,310,310,agree,discuss,discuss,agree,agree,agree,agree
315,315,315,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
320,320,320,discuss,discuss,discuss,discuss,discuss,discuss,discuss
325,325,325,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
330,330,330,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
335,335,335,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
340,340,340,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
345,345,345,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
350,350,350,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
355,355,355,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
360,360,360,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
365,365,365,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
370,370,370,agree,agree,agree,agree,agree,agree,agree
375,375,375,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
