,Stance,solat,athene,uclmr,solat_tree,solat_deep,mix_solat_uclmr
1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
2,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
3,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
4,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
8,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
9,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
11,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
12,discuss,discuss,discuss,discuss,discuss,discuss,discuss
13,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14,discuss,discuss,discuss,discuss,discuss,discuss,discuss
16,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
17,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
18,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
19,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
21,agree,agree,disagree,discuss,agree,unrelated,agree
22,agree,agree,agree,agree,agree,unrelated,agree
23,disagree,agree,agree,agree,discuss,agree,discuss
24,discuss,agree,discuss,disagree,agree,agree,agree
26,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
27,discuss,discuss,discuss,discuss,discuss,discuss,discuss
28,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
29,agree,discuss,agree,agree,discuss,disagree,agree
31,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
32,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
33,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
34,discuss,discuss,discuss,discuss,discuss,agree,discuss
36,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
37,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
38,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
39,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
41,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
42,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
43,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
44,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
46,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
47,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
48,discuss,discuss,discuss,discuss,discuss,discuss,discuss
49,unrelated,agree,unrelated,discuss,unrelated,agree,discuss
51,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
52,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
53,unrelated,unrelated,unrelated,discuss,unrelated,agree,unrelated
54,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
56,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
57,discuss,discuss,discuss,discuss,discuss,discuss,discuss
58,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
59,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
61,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
62,discuss,agree,discuss,discuss,agree,discuss,agree
63,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
64,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
66,agree,discuss,discuss,discuss,discuss,agree,discuss
67,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
68,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
69,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
71,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
72,agree,discuss,agree,agree,discuss,agree,discuss
73,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
74,agree,agree,agree,agree,discuss,agree,agree
76,discuss,discuss,agree,agree,agree,discuss,agree
77,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
78,discuss,discuss,discuss,agree,discuss,disagree,discuss
79,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
81,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
82,discuss,discuss,agree,agree,discuss,agree,agree
83,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
84,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
86,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
87,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
88,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
89,disagree,discuss,discuss,agree,discuss,discuss,discuss
91,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
92,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
93,agree,discuss,unrelated,discuss,discuss,agree,discuss
94,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
96,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
97,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
98,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
99,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
101,discuss,discuss,unrelated,discuss,discuss,discuss,discuss
102,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
103,disagree,discuss,agree,discuss,discuss,unrelated,discuss
104,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
106,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
107,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
108,unrelated,discuss,unrelated,discuss,discuss,discuss,discuss
109,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
111,discuss,discuss,discuss,discuss,discuss,discuss,discuss
112,unrelated,discuss,unrelated,unrelated,unrelated,discuss,unrelated
113,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
114,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
116,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
117,discuss,discuss,discuss,unrelated,discuss,unrelated,unrelated
118,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
119,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
121,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
122,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
123,agree,discuss,discuss,discuss,discuss,unrelated,discuss
124,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
126,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
127,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
128,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
129,disagree,unrelated,agree,agree,unrelated,unrelated,agree
131,disagree,discuss,discuss,discuss,discuss,discuss,discuss
132,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
133,agree,agree,discuss,discuss,agree,agree,agree
134,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
136,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
137,disagree,agree,discuss,agree,agree,unrelated,agree
138,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
139,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
141,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
142,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
143,disagree,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
144,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
146,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
147,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
148,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
149,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
151,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
152,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
153,unrelated,discuss,unrelated,unrelated,unrelated,discuss,unrelated
154,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
156,agree,discuss,agree,agree,discuss,unrelated,agree
157,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
158,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
159,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
161,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
